"name","n"
"Panda Express",1672
"Manchu Wok",77
"P.F. Chang's China Bistro",76
"Wow Bao",68
"Chinese Gourmet Express",64
"Pick Up Stix",26
"P.F. Chang's",8
"Asian Chao",6
"P.F. Chang's To Go",6
"Pick Up Stix Fresh Asian Flavors",4
"Little Panda Express",3
"New Panda Express",3
"Pei Wei",2
"Pei Wei Asian Diner",2
"Pei Wei Express",2
"1931 Asian Chao Orient",1
"Chinese Gourmet Express @ Layton Hills Mall",1
"Chinese Gourmet Express @ the Newgate Mall",1
"Grand Panda Express",1
"LSU Student Union - Panda Express",1
"Manchu Wok Chinese Restaurant",1
"P.F. Chang's To-Go",1
"Panda Express (@ the galleria)",1
"Panda Express (Baldwin Hills)",1
"Panda Express (Chastain Rd.)",1
"Panda Express (FH)",1
"Panda Express (Prudential Center)",1
"Panda Express - Chicago Place",1
"Panda Express - Flagstaff",1
"Panda Express - H Building",1
"Panda Express - Pavilions",1
"Panda Express - Sears Holdings Cafeteria",1
"Panda Express - Torrance",1
"Panda Express 2390 Forest Ave",1
"Panda Express @ BCBSFL",1
"Panda Express @ Sam's Town Food Court",1
"Panda Express @ Vons",1
"Panda Express Chinese Kitchen",1
"Panda Express Jimmy Lee Smith parkway",1
"Panda Express SB Milford",1
"Panda Express at UNLV",1
"Panda Express st charles",1
"Pei Wei - Take Out Only",1
"Pei Wei Asian Express",1
"Pei Wei Asian Kitchen",1
"Pick Up Stix - Torrey Hills",1
"Wow Bao Dallas",1
