STATEFP,COUNTYFP,GEOID,NAME,population,chinese
01,001,01001,Autauga,58805,188
01,003,01003,Baldwin,231767,549
01,005,01005,Barbour,25223,0
01,007,01007,Bibb,22293,0
01,009,01009,Blount,59134,71
01,011,01011,Bullock,10357,0
01,013,01013,Butler,19051,0
01,015,01015,Calhoun,116441,191
01,017,01017,Chambers,34772,40
01,019,01019,Cherokee,24971,0
01,021,01021,Chilton,45014,49
01,023,01023,Choctaw,12665,0
01,025,01025,Clarke,23087,29
01,027,01027,Clay,14236,0
01,029,01029,Cleburne,15056,0
01,031,01031,Coffee,53465,120
01,033,01033,Colbert,57227,64
01,035,01035,Conecuh,11597,0
01,037,01037,Coosa,10387,0
01,039,01039,Covington,37570,53
01,041,01041,Crenshaw,13194,0
01,043,01043,Cullman,87866,105
01,045,01045,Dale,49326,105
01,047,01047,Dallas,38462,22
01,049,01049,DeKalb,71608,56
01,051,01051,Elmore,87977,89
01,053,01053,Escambia,36757,34
01,055,01055,Etowah,103436,137
01,057,01057,Fayette,16321,25
01,059,01059,Franklin,32113,31
01,061,01061,Geneva,26659,0
01,063,01063,Greene,7730,0
01,065,01065,Hale,14785,0
01,067,01067,Henry,17146,0
01,069,01069,Houston,107202,264
01,071,01071,Jackson,52579,43
01,073,01073,Jefferson,674721,3141
01,075,01075,Lamar,13972,0
01,077,01077,Lauderdale,93564,179
01,079,01079,Lawrence,33073,0
01,081,01081,Lee,174241,2336
01,083,01083,Limestone,103570,318
01,085,01085,Lowndes,10311,0
01,087,01087,Macon,19532,0
01,089,01089,Madison,388153,2383
01,091,01091,Marengo,19323,0
01,093,01093,Marion,29341,0
01,095,01095,Marshall,97612,115
01,097,01097,Mobile,414809,896
01,099,01099,Monroe,19772,0
01,101,01101,Montgomery,228954,835
01,103,01103,Morgan,123421,197
01,105,01105,Perry,8511,0
01,107,01107,Pickens,19123,0
01,109,01109,Pike,33009,229
01,111,01111,Randolph,21967,0
01,113,01113,Russell,59183,65
01,115,01115,St. Clair,91103,150
01,117,01117,Shelby,223024,936
01,119,01119,Sumter,12345,29
01,121,01121,Talladega,82149,87
01,123,01123,Tallapoosa,41311,48
01,125,01125,Tuscaloosa,227036,1014
01,127,01127,Walker,65342,43
01,129,01129,Washington,15388,0
01,131,01131,Wilcox,10600,0
01,133,01133,Winston,23540,0
02,013,02013,Aleutians East,3420,0
02,016,02016,Aleutians West,5232,26
02,020,02020,Anchorage,291247,2908
02,050,02050,Bethel,18666,24
02,060,02060,Bristol Bay,844,0
02,063,02063,Chugach,7102,34
02,066,02066,Copper River,2617,0
02,068,02068,Denali,1619,0
02,070,02070,Dillingham,4857,0
02,090,02090,Fairbanks North Star,95655,685
02,100,02100,Haines,2080,0
02,105,02105,Hoonah-Angoon,2365,0
02,110,02110,Juneau,32255,278
02,122,02122,Kenai Peninsula,58799,186
02,130,02130,Ketchikan Gateway,13948,81
02,150,02150,Kodiak Island,13101,61
02,158,02158,Kusilvak,8368,0
02,164,02164,Lake and Peninsula,1476,0
02,170,02170,Matanuska-Susitna,107081,388
02,180,02180,Nome,10046,0
02,185,02185,North Slope,11031,28
02,188,02188,Northwest Arctic,7793,0
02,195,02195,Petersburg,3398,31
02,198,02198,Prince of Wales-Hyder,5753,0
02,220,02220,Sitka,8458,45
02,230,02230,Skagway,1240,0
02,240,02240,Southeast Fairbanks,6808,0
02,275,02275,Wrangell,2127,0
02,282,02282,Yakutat,662,0
02,290,02290,Yukon-Koyukuk,5343,0
04,001,04001,Apache,66021,34
04,003,04003,Cochise,125447,376
04,005,04005,Coconino,145101,993
04,007,04007,Gila,53272,87
04,009,04009,Graham,38533,57
04,011,04011,Greenlee,9563,0
04,012,04012,La Paz,16557,0
04,013,04013,Maricopa,4420568,42846
04,015,04015,Mohave,213267,514
04,017,04017,Navajo,106717,150
04,019,04019,Pima,1043433,9640
04,021,04021,Pinal,425264,1314
04,023,04023,Santa Cruz,47669,79
04,025,04025,Yavapai,236209,764
04,027,04027,Yuma,203881,490
05,001,05001,Arkansas,17149,23
05,003,05003,Ashley,19062,0
05,005,05005,Baxter,41627,66
05,007,05007,Benton,284333,1373
05,009,05009,Boone,37373,64
05,011,05011,Bradley,10545,0
05,013,05013,Calhoun,4739,0
05,015,05015,Carroll,28260,0
05,017,05017,Chicot,10208,32
05,019,05019,Clark,21446,25
05,021,05021,Clay,14552,0
05,023,05023,Cleburne,24711,0
05,025,05025,Cleveland,7550,0
05,027,05027,Columbia,22801,38
05,029,05029,Conway,20715,0
05,031,05031,Craighead,111231,386
05,033,05033,Crawford,60133,64
05,035,05035,Crittenden,48163,86
05,037,05037,Cross,16833,0
05,039,05039,Dallas,6482,0
05,041,05041,Desha,11395,28
05,043,05043,Drew,17350,0
05,045,05045,Faulkner,123498,354
05,047,05047,Franklin,17097,0
05,049,05049,Fulton,12075,0
05,051,05051,Garland,100180,171
05,053,05053,Grant,17958,0
05,055,05055,Greene,45736,42
05,057,05057,Hempstead,20065,0
05,059,05059,Hot Spring,33040,0
05,061,05061,Howard,12785,0
05,063,05063,Independence,37938,43
05,065,05065,Izard,13577,0
05,067,05067,Jackson,16755,0
05,069,05069,Jefferson,67260,85
05,071,05071,Johnson,25749,37
05,073,05073,Lafayette,6308,0
05,075,05075,Lawrence,16216,0
05,077,05077,Lee,8600,0
05,079,05079,Lincoln,12941,0
05,081,05081,Little River,12026,0
05,083,05083,Logan,21131,0
05,085,05085,Lonoke,74015,167
05,087,05087,Madison,16521,0
05,089,05089,Marion,16826,26
05,091,05091,Miller,42600,29
05,093,05093,Mississippi,40685,40
05,095,05095,Monroe,6799,0
05,097,05097,Montgomery,8484,0
05,099,05099,Nevada,8310,0
05,101,05101,Newton,7225,0
05,103,05103,Ouachita,22650,33
05,105,05105,Perry,10019,0
05,107,05107,Phillips,16568,0
05,109,05109,Pike,10171,0
05,111,05111,Poinsett,22965,27
05,113,05113,Polk,19221,26
05,115,05115,Pope,63381,159
05,117,05117,Prairie,8282,0
05,119,05119,Pulaski,399125,1906
05,121,05121,Randolph,18571,30
05,123,05123,St. Francis,23090,0
05,125,05125,Saline,123416,245
05,127,05127,Scott,9836,0
05,129,05129,Searcy,7828,0
05,131,05131,Sebastian,127799,376
05,133,05133,Sevier,15839,0
05,135,05135,Sharp,17271,0
05,137,05137,Stone,12359,0
05,139,05139,Union,39054,73
05,141,05141,Van Buren,15796,0
05,143,05143,Washington,245871,1379
05,145,05145,White,76822,165
05,147,05147,Woodruff,6269,0
05,149,05149,Yell,20263,0
06,001,06001,Alameda,1682353,201823
06,003,06003,Alpine,1204,22
06,005,06005,Amador,40474,140
06,007,06007,Butte,211632,1461
06,009,06009,Calaveras,45292,215
06,011,06011,Colusa,21839,70
06,013,06013,Contra Costa,1165927,65396
06,015,06015,Del Norte,27743,89
06,017,06017,El Dorado,191185,2490
06,019,06019,Fresno,1008654,9310
06,021,06021,Glenn,28917,67
06,023,06023,Humboldt,136463,848
06,025,06025,Imperial,179702,945
06,027,06027,Inyo,19016,87
06,029,06029,Kern,909235,4283
06,031,06031,Kings,152486,634
06,033,06033,Lake,68163,333
06,035,06035,Lassen,32730,101
06,037,06037,Los Angeles,10014009,499302
06,039,06039,Madera,156255,477
06,041,06041,Marin,262321,7305
06,043,06043,Mariposa,17131,70
06,045,06045,Mendocino,91601,679
06,047,06047,Merced,281202,1575
06,049,06049,Modoc,8700,0
06,051,06051,Mono,13195,78
06,053,06053,Monterey,439035,3964
06,055,06055,Napa,138019,1539
06,057,06057,Nevada,102241,607
06,059,06059,Orange,3186989,138463
06,061,06061,Placer,404739,7069
06,063,06063,Plumas,19790,60
06,065,06065,Riverside,2418185,33512
06,067,06067,Sacramento,1585055,62020
06,069,06069,San Benito,64209,359
06,071,06071,San Bernardino,2181654,54121
06,073,06073,San Diego,3298634,84683
06,075,06075,San Francisco,873965,194345
06,077,06077,San Joaquin,779233,12960
06,079,06079,San Luis Obispo,282424,3267
06,081,06081,San Mateo,764442,106316
06,083,06083,Santa Barbara,448229,8889
06,085,06085,Santa Clara,1936259,224562
06,087,06087,Santa Cruz,270861,4938
06,089,06089,Shasta,182155,1163
06,091,06091,Sierra,3236,0
06,093,06093,Siskiyou,44076,198
06,095,06095,Solano,453491,8136
06,097,06097,Sonoma,488863,7463
06,099,06099,Stanislaus,552878,4328
06,101,06101,Sutter,99633,545
06,103,06103,Tehama,65829,248
06,105,06105,Trinity,16112,46
06,107,06107,Tulare,473117,1899
06,109,06109,Tuolumne,55620,294
06,111,06111,Ventura,843843,13567
06,113,06113,Yolo,216403,11877
06,115,06115,Yuba,81575,547
08,001,08001,Adams,519572,3732
08,003,08003,Alamosa,16376,41
08,005,08005,Arapahoe,655070,8513
08,007,08007,Archuleta,13359,28
08,009,08009,Baca,3506,0
08,011,08011,Bent,5650,0
08,013,08013,Boulder,330758,5698
08,014,08014,Broomfield,74112,1545
08,015,08015,Chaffee,19476,53
08,017,08017,Cheyenne,1748,0
08,019,08019,Clear Creek,9397,0
08,021,08021,Conejos,7461,0
08,023,08023,Costilla,3499,0
08,025,08025,Crowley,5922,0
08,027,08027,Custer,4704,0
08,029,08029,Delta,31196,59
08,031,08031,Denver,715522,6982
08,033,08033,Dolores,2326,0
