"word","n"
"kong",1297
"hunan",939
"1",795
"peking",767
"szechuan",502
"ming",443
"beijing",370
"wah",365
"ii",316
"chinatown",313
"fu",308
"wong",302
"bbq",277
"hing",270
"suey",221
"bao",204
"sushi",179
"2",165
"sichuan",154
"wei",142
"cheng",130
"yum",129
"lai",120
"xing",116
"chopstix",115
"88",114
"tai",108
"p.f",102
"hai",101
"jing",101
"buffett",99
"yu",89
"kung",88
"ching",86
"manchu",86
"wu",86
"jiang",80
"fong",77
"hua",77
"feng",75
"yan",74
"chuan",73
"iii",73
"shang",71
"xiang",71
"yi",69
"chong",67
"chung",67
"3",66
"xin",66
"8",64
"stix",63
"fung",60
"hao",60
"liu",60
"taipei",57
"foo",56
"shing",56
"chengdu",54
"tokyo",54
"ying",54
"lu",52
"tian",52
"chu",51
"formosa",51
"lao",51
"buddha",48
"huang",48
"inc",48
"chun",46
"ji",46
"sheng",46
"bei",45
"zheng",45
"yuen",42
"jia",41
"malatang",41
"cheung",40
"eggroll",40
"hotpot",40
"shan",40
"chao",38
"hui",38
"kowloon",38
"taiwanese",38
"yunnan",38
"cantonese",36
"cathay",36
"halal",36
"ny",36
"xiao",36
"yee",36
"shangri",35
"zhang",35
"lan",34
"mein",33
"mulan",33
"qing",33
"shabu",33
"小",33
"chens",32
"po",32
"le",31
"xpress",31
"co",30
"du",30
"xian",30
"zhou",30
"dimsum",29
"tsing",29
"wongs",29
"xi'an",29
"yung",29
"味",29
"7",28
"hk",28
"ju",28
"qq",28
"sze",28
"香",28
"5",27
"pao",27
"wa",27
"bobo",26
"mee",26
"pei",26
"yao",26
"yeung",26
"食",26
"choy",25
"jian",25
"usa",25
"店",25
"4",24
"mai",24
"moy",24
"peng",24
"大",24
"麻辣",24
"99",23
"shi",23
"shu",23
"su",23
"101",22
"168",22
"888",22
"broadway",22
"mings",22
"pho",22
"rong",22
"yun",22
"川",22
"湘",22
"記",22
"1st",21
"choi",21
"jj",21
"kwong",21
"saigon",21
"yue",21
"坊",21
"家",21
"chans",20
"kang",20
"yong",20
"小吃",20
"guang",19
"guo",19
"heng",19
"kwan",19
"lok",19
"sakura",19
"居",19
"菜",19
"bento",18
"café",18
"fei",18
"hu",18
"kirin",18
"kungfu",18
"wai",18
"串",18
"美食",18
"金",18
"cha",17
"chai",17
"ichiban",17
"quik",17
"shen",17
"tien",17
"wangs",17
"xi’an",17
"烫",17
"9",16
"chau",16
"chee",16
"chiu",16
"koi",16
"nam",16
"ramen",16
"lau",15
"mao",15
"ni",15
"pong",15
"zhu",15
"城",15
"好",15
"旺",15
"粉",15
"鱼",15
"bros",14
"dao",14
"gao",14
"genghis",14
"hon",14
"hunans",14
"lanzhou",14
"lite",14
"outee",14
"shui",14
"xia",14
"zhong",14
"成都",14
"新",14
"福",14
"茶",14
"记",14
"酒家",14
"boba",13
"lim",13
"mian",13
"quan",13
"tso",13
"yangtze",13
"米",13
"老",13
"飯店",13
"餐廳",13
"2000",12
"21",12
"a1",12
"chongqing",12
"fai",12
"fook",12
"gai",12
"hoa",12
"osaka",12
"qin",12
"zhen",12
"zi",12
"一",12
"客串",12
"府",12
"轩",12
"369",11
"atlantic",11
"b.b.q",11
"bai",11
"blvd",11
"cheong",11
"cho",11
"hawaiian",11
"hwa",11
