word,n,is_phrase_member,category
china,11768,TRUE,places
chinese,10252,TRUE,places
buffet,4185,TRUE,
express,4008,TRUE,
wok,3790,TRUE,
garden,3761,TRUE,
panda,3003,TRUE,
kitchen,2548,TRUE,
house,2479,TRUE,
king,1850,TRUE,
dragon,1832,TRUE,nature|symbols
golden,1807,TRUE,symbols
food,1511,TRUE,
hong,1386,TRUE,
kong,1297,TRUE,
cafe,1240,TRUE,
cuisine,1012,TRUE,
palace,967,TRUE,
star,956,TRUE,
hunan,939,TRUE,places
wall,918,TRUE,
asian,812,FALSE,places
taste,779,FALSE,
peking,767,FALSE,places
happy,738,TRUE,symbols
chef,712,FALSE,
gourmet,712,FALSE,
city,628,TRUE,
lucky,606,FALSE,symbols
bistro,565,TRUE,
jade,541,TRUE,symbols
mandarin,508,FALSE,places
szechuan,502,FALSE,places
rice,496,TRUE,
grill,490,TRUE,
inn,486,TRUE,
super,461,TRUE,
shanghai,449,TRUE,places
ming,443,FALSE,symbols
fortune,438,TRUE,symbols
noodle,433,TRUE,
east,427,TRUE,places
lee,424,TRUE,names
moon,416,TRUE,
bamboo,409,TRUE,
oriental,396,FALSE,places|symbols
chen,383,FALSE,names
beijing,370,FALSE,places
hot,367,TRUE,
wah,365,FALSE,
bowl,361,FALSE,
red,352,TRUE,
yummy,352,FALSE,
grand,350,TRUE,symbols
sum,339,TRUE,
dynasty,323,FALSE,symbols
chinatown,313,FALSE,places
dim,310,TRUE,
wong,302,FALSE,names
town,296,TRUE,
chop,284,TRUE,
pot,282,TRUE,
sun,279,TRUE,
roll,278,TRUE,
bbq,277,TRUE,
lin,275,TRUE,names
hing,270,FALSE,
seafood,262,FALSE,
chang,261,TRUE,names
village,243,FALSE,
canton,242,FALSE,places
hibachi,239,FALSE,
royal,235,FALSE,symbols
jin,230,FALSE,
tasty,230,TRUE,
suey,221,TRUE,
imperial,207,FALSE,symbols
empire,205,FALSE,symbols
bao,204,TRUE,
mei,201,FALSE,
chin,200,TRUE,
chopsticks,200,FALSE,
green,181,FALSE,
wing,180,FALSE,
chan,179,TRUE,names
sushi,179,FALSE,
asia,178,FALSE,places
dumpling,174,FALSE,
tea,172,TRUE,
lotus,168,FALSE,nature|symbols
eastern,162,FALSE,places
bar,161,FALSE,
pearl,159,FALSE,symbols
fast,154,TRUE,
sichuan,154,FALSE,places
joy,150,TRUE,symbols
max,150,TRUE,
ocean,149,FALSE,
wang,148,FALSE,names
family,147,FALSE,
noodles,145,FALSE,
sing,144,FALSE,
top,144,TRUE,
main,142,TRUE,
wei,142,TRUE,
delight,140,TRUE,
spring,136,TRUE,
teriyaki,133,FALSE,
chow,131,TRUE,names
gate,131,TRUE,
cheng,130,TRUE,
phoenix,130,FALSE,nature|symbols
yum,129,TRUE,
spicy,125,FALSE,
orient,121,TRUE,places|symbols
lai,120,FALSE,
xing,116,FALSE,
chopstix,115,FALSE,
south,114,TRUE,places
carry,113,TRUE,
fusion,113,FALSE,
yen,111,TRUE,
magic,110,TRUE,
egg,109,TRUE,
kee,108,FALSE,
tai,108,FALSE,
yang,107,FALSE,names
chicken,106,TRUE,
gardens,103,FALSE,
mongolian,103,TRUE,places
p.f,102,TRUE,
hai,101,TRUE,
jing,101,TRUE,
ling,100,FALSE,
buffett,99,FALSE,
kim,98,TRUE,
yuan,97,FALSE,symbols
island,96,FALSE,
luck,96,TRUE,symbols
tang,96,FALSE,symbols
american,94,TRUE,
double,94,TRUE,
duck,94,FALSE,
master,94,TRUE,names
kam,92,FALSE,names
famous,91,TRUE,
hut,91,TRUE,
pavilion,89,TRUE,symbols
sea,89,TRUE,
kung,88,TRUE,
ching,86,TRUE,
manchu,86,TRUE,
jumbo,85,TRUE,
carryout,82,FALSE,
fun,80,TRUE,
jiang,80,FALSE,
pan,80,FALSE,
silver,80,TRUE,symbols
wow,80,TRUE,
north,78,TRUE,places
taiwan,78,FALSE,places
uncle,78,FALSE,names
court,77,FALSE,
fong,77,FALSE,names
hua,77,FALSE,
river,77,FALSE,
feng,75,FALSE,
pagoda,75,FALSE,symbols
street,75,FALSE,
west,74,TRUE,places
yan,74,FALSE,
chuan,73,TRUE,
iii,73,FALSE,
kings,73,FALSE,
lounge,72,FALSE,
station,72,TRUE,
fish,71,TRUE,
ginger,71,FALSE,
shang,71,TRUE,
xiang,71,FALSE,
deli,70,FALSE,
hop,70,FALSE,
rose,70,TRUE,
evergreen,69,TRUE,
win,69,FALSE,
cookie,68,TRUE,
lake,68,TRUE,
sky,68,FALSE,
tin,68,FALSE,
chong,67,TRUE,
chung,67,FALSE,
xin,66,FALSE,
dumplings,65,FALSE,
fresh,65,TRUE,
shun,65,FALSE,
tao,65,TRUE,symbols
rainbow,64,FALSE,
sunny,64,FALSE,
stix,63,FALSE,
fung,60,FALSE,names
hao,60,FALSE,
home,60,FALSE,
liu,60,FALSE,names
wonton,60,FALSE,
chi,58,FALSE,
chopstick,58,FALSE,
diner,58,TRUE,
tung,58,FALSE,
world,58,TRUE,
blue,57,FALSE,
dong,57,FALSE,
fried,57,TRUE,
style,57,FALSE,
taipei,57,FALSE,places
foo,56,FALSE,
shing,56,FALSE,
shop,56,TRUE,
gold,55,FALSE,symbols
lung,55,FALSE,
won,55,TRUE,
century,54,TRUE,
chengdu,54,FALSE,places
corner,54,FALSE,
stir,54,TRUE,
takeout,54,TRUE,
tokyo,54,FALSE,
twin,54,TRUE,
ying,54,FALSE,
pepper,53,TRUE,
bay,52,FALSE,
eatery,52,FALSE,
thai,52,FALSE,
tian,52,FALSE,
chu,51,FALSE,
formosa,51,FALSE,places
fry,51,TRUE,
lao,51,TRUE,
valley,51,FALSE,
apple,50,TRUE,
crown,50,TRUE,
japanese,50,TRUE,
lam,50,FALSE,names
pacific,50,FALSE,
tree,50,TRUE,
flaming,49,TRUE,
sam,49,TRUE,names
tong,49,FALSE,
wan,49,FALSE,
bing,48,TRUE,
buddha,48,TRUE,symbols
foods,48,TRUE,
huang,48,TRUE,
international,48,TRUE,
mama,48,FALSE,names
supreme,48,TRUE,symbols
wonderful,48,TRUE,symbols
box,47,TRUE,
nan,47,FALSE,
park,47,FALSE,
ting,47,FALSE,
chun,46,FALSE,
harbor,46,FALSE,
san,46,FALSE,
sheng,46,FALSE,
bei,45,TRUE,
emperor,45,FALSE,symbols
han,45,FALSE,symbols
spice,45,FALSE,
time,45,FALSE,
wings,45,FALSE,
zheng,45,FALSE,
center,44,FALSE,
ding,44,FALSE,
fine,44,TRUE,
happiness,44,TRUE,symbols
lantern,44,TRUE,symbols
liang,44,TRUE,
seasons,44,TRUE,
yin,44,FALSE,
flower,43,TRUE,
